"Tray","Range","Plot","Rep","Entry","Spike_image_number","Anther_image_number","Awn_or_awnless","Reps_matching","Variety","Days_to_heading","Date_of_anther_sampling","Number_of_heads_for_yield_comps","Number_of_heads_for_anthers","Number_of_heads_for_spikelets","Weight_g","Number_of_seeds","Spikelets_per_image","Number_of_anthers","Area_of_anthers_per_spike","Number_of_anthers_per_spike","Area_per_anther","Area_per_spike","Thousand_kernel_weight","Kernels_per_spike","Spikelets_per_spike"
2,10,120,1,"HG18461","IMG-0238.JPG",NA,1,1,"VA12W-72",118,NA,10,NA,6,21.3,474,105,NA,NA,NA,NA,927.4135,44.9367088607595,47.4,17.5
2,5,100,1,"HG18341","IMG-0239.JPG",NA,0,1,"NC11-23321",122,NA,10,NA,6,17.2,521,118,NA,NA,NA,NA,677.1341667,33.0134357005758,52.1,19.6666666666667
3,1,162,1,"Check","IMG-0240.JPG",NA,0,1,"SS8641",120,NA,10,NA,6,24.7,774,125,NA,NA,NA,NA,889.7308333,31.9121447028424,77.4,20.8333333333333
3,7,185,1,"HG18149","IMG-0241.JPG",NA,1,1,"GA04244-12LE16",122,NA,9,NA,6,19,507,114,NA,NA,NA,NA,1415.7235,37.4753451676529,56.3333333333333,19
2,14,133,1,"HG18394","IMG-0242.JPG",NA,1,1,"TX12D4791",119,NA,9,NA,6,18.9,489,116,NA,NA,NA,NA,943.159,38.6503067484663,54.3333333333333,19.3333333333333
3,1,163,1,"Check","IMG-0243.JPG","DSC-0130.JPG",1,1,"Jamestown",116,120,10,4,6,24.9,686,114,133,13.92,33.25,0.418646616541353,1369.710333,36.2973760932945,68.6,19
2,16,141,1,"HG18065","IMG-0244.JPG","DSC-0826.JPG",0,1,"AR99110W-13-1",120,123,12,4,6,25.7,767,117,80,10,20,0.5,912.3016667,33.5071707953064,63.9166666666667,19.5
2,15,137,1,"HG18526","IMG-0245.JPG","DSC-0373.JPG",1,1,"FLLA10197C-5",117,121,11,4,6,19.9,545,110,65,10.01,16.25,0.616,1137.634667,36.5137614678899,49.5454545454545,18.3333333333333
2,12,127,1,"HG18312","IMG-0246.JPG","DSC-0350.JPG",0,1,"NC09-20036",118,121,10,4,6,16.3,547,113,79,5.33,19.75,0.269873417721519,682.9366667,29.7989031078611,54.7,18.8333333333333
2,1,81,1,"Check","IMG-0247.JPG",NA,1,1,"AGS2055",122,NA,10,NA,6,12.7,441,112,NA,NA,NA,NA,846.1795,28.7981859410431,44.1,18.6666666666667
2,10,119,1,"HG18415","IMG-0248.JPG","DSC-0063.JPG",1,1,"TX13D5261",116,119,10,4,6,24.5,638,106,112,11.06,28,0.395,1394.232667,38.4012539184953,63.8,17.6666666666667
2,16,144,1,"HG18445","IMG-0249.JPG","DSC-0850.JPG",0,1,"VA09W-656",120,123,10,4,6,19.3,597,120,117,9.24,29.25,0.315897435897436,784.0098333,32.3283082077052,59.7,20
3,4,176,1,"HG18053","IMG-0250.JPG",NA,1,1,"AR98097-4-1",119,NA,10,NA,6,22.3,556,107,NA,NA,NA,NA,1654.3965,40.1079136690648,55.6,17.8333333333333
3,3,169,1,"HG18303","IMG-0251.JPG",NA,0,1,"NC07-22517",119,NA,10,NA,6,14.7,452,104,NA,NA,NA,NA,734.8371667,32.5221238938053,45.2,17.3333333333333
3,2,166,1,"HG18116","IMG-0252.JPG","DSC-0344.JPG",1,1,"GA001170-7E26",118,121,10,4,6,18.3,575,116,20,2.45,5,0.49,1243.679833,31.8260869565217,57.5,19.3333333333333
2,12,126,1,"HG18359","IMG-0253.JPG",NA,1,1,"NC13-23443",117,NA,10,NA,6,18.9,527,111,NA,NA,NA,NA,898.3566667,35.8633776091082,52.7,18.5
3,2,165,1,"HG18383","IMG-0254.JPG",NA,1,0,"SCW990002K1",119,NA,10,NA,6,16.4,522,112,NA,NA,NA,NA,729.225,31.4176245210728,52.2,18.6666666666667
2,18,151,1,"HG18443","IMG-0255.JPG","DSC-0070.JPG",0,1,"VA09W-46",117,119,10,4,6,19.8,536,100,74,9.13,18.5,0.493513513513514,682.6416667,36.9402985074627,53.6,16.6666666666667
2,7,106,1,"HG18556","IMG-0257.JPG","DSC-0123.JPG",0,1,"LA10046C-22",119,120,10,4,6,12.9,343,102,88,7.51,22,0.341363636363636,614.2433333,37.6093294460641,34.3,17
2,7,107,1,"HG18282","IMG-0258.JPG","DSC-0068.JPG",0,0,"LANC8170-41-2",116,119,9,4,6,12.1,348,114,79,8.85,19.75,0.448101265822785,688.824,34.7701149425287,38.6666666666667,19
2,6,104,1,"HG18237","IMG-0259.JPG",NA,1,1,"LA05027D-26",123,NA,10,NA,6,19.2,524,104,NA,NA,NA,NA,890.9518333,36.6412213740458,52.4,17.3333333333333
2,7,108,1,"HG18589","IMG-0260.JPG","DSC-0341.JPG",1,1,"TX15D9579",118,121,10,4,6,19,491,106,69,7.06,17.25,0.409275362318841,1022.246833,38.6965376782077,49.1,17.6666666666667
3,7,187,1,"HG18424","IMG-0261.JPG",NA,1,1,"TX14D8337",119,NA,10,NA,6,21.5,487,108,NA,NA,NA,NA,1106.837833,44.1478439425051,48.7,18
